experiment_id,project,topic,status,start_time,end_time,entry_point,config_path,output_path,log_path,metrics_summary,physics_ai_logg_path,priority,next_action,notes
VIT-20251201-gta-01,VIT,gta,completed,2025-12-01T13:03:02.295445,2025-12-01T13:03:02.295445,scripts/global_feature_experiments.py,configs/global_feature_mvp.yaml,results/global_features,,"R2=0.9986, Best=MVP_F1F2F3_nz1p0, Dim=121, Time=32s",,P1,,
VIT-20251205-lightgbm-01,VIT,lightgbm,completed,2025-12-05T00:00:00,2025-12-05T00:00:00,train_lightgbm.py,configs/exp/logg/lightgbm.yaml,models/lightgbm_e1000_l63_lr005_ff08_bf08_bf5_n32k,,"Best R2=0.9982 (nz0), 9 noise levels, 36 HP configs",logg/exp_lightgbm_results_20251205.md,P1,,"Noise sweep + HP sweep summary"
